customer_id,customer_taxonomies
C00220,new
C00221,new
C00222,new
C00223,new
C00224,regular
C00225,regular
C00226,regular
C00227,occasional
C00228,premium
C00229,new
C00230,occasional
C00231,price_sensitive
C00232,new
C00233,new
C00234,regular
C00235,regular
C00236,price_sensitive
C00237,price_sensitive
C00238,regular
C00239,occasional
C00240,price_sensitive
C00241,regular
C00242,occasional
C00243,occasional
C00244,occasional
C00245,regular
C00246,price_sensitive
C00247,new
C00248,price_sensitive
C00249,occasional
C00250,price_sensitive
C00251,premium
C00252,premium
C00253,premium
C00254,new
C00255,regular
C00256,new
C00257,premium
C00258,regular
C00259,new
C00260,regular
C00261,price_sensitive
C00262,premium
C00263,premium
C00264,regular
C00265,occasional
C00266,price_sensitive
C00267,new
C00268,price_sensitive
C00269,new
C00270,new
C00271,price_sensitive
C00272,regular
C00273,regular
C00274,new
C00275,regular
C00276,new
C00277,price_sensitive
C00278,price_sensitive
C00279,price_sensitive
C00280,premium
C00281,price_sensitive
C00282,price_sensitive
C00283,regular
C00284,new
C00285,new
C00286,regular
C00287,new
C00288,new
C00289,premium
C00290,occasional
C00291,price_sensitive
C00292,regular
C00293,regular
C00294,occasional
C00295,occasional
C00296,regular
C00297,price_sensitive
C00298,regular
C00299,regular
C00300,regular
C00301,regular
C00302,occasional
C00303,price_sensitive
C00304,new
C00305,price_sensitive
C00306,occasional
C00307,occasional
C00308,regular
C00309,new
C00310,regular
C00311,regular
C00312,regular
C00313,price_sensitive
C00314,new
C00315,regular
C00316,regular
C00317,new
C00318,regular
C00319,new
C00320,regular
C00321,regular
C00322,new
C00323,price_sensitive
C00324,regular
C00325,regular
C00326,regular
C00327,occasional
C00328,new
C00329,price_sensitive
C00330,occasional
C00331,regular
C00332,premium
C00333,price_sensitive
C00334,regular
C00335,new
C00336,price_sensitive
C00337,new
C00338,occasional
C00339,new
C00340,price_sensitive
C00341,new
C00342,premium
C00343,price_sensitive
C00344,regular
C00345,regular
C00346,regular
C00347,regular
C00348,regular
C00349,price_sensitive
C00350,new
C00351,price_sensitive
C00352,occasional
C00353,price_sensitive
C00354,price_sensitive
C00355,price_sensitive
C00356,new
C00357,regular
C00358,regular
C00359,regular
C00360,regular
C00361,regular
C00362,premium
C00363,price_sensitive
C00364,regular
C00365,regular
C00366,regular
C00367,new
C00368,new
C00369,premium
C00370,regular
C00371,premium
C00372,occasional
C00373,regular
C00374,price_sensitive
C00375,price_sensitive
C00376,new
C00377,new
C00378,price_sensitive
C00379,price_sensitive
C00380,premium
C00381,occasional
C00382,price_sensitive
C00383,occasional
C00384,price_sensitive
C00385,price_sensitive
C00386,price_sensitive
C00387,regular
C00388,price_sensitive
C00389,new
C00390,new
C00391,occasional
C00392,regular
C00393,new
C00394,price_sensitive
C00395,price_sensitive
C00396,new
C00397,premium
C00398,price_sensitive
C00399,regular
C00400,regular
C00401,price_sensitive
C00402,regular
C00403,regular
C00404,price_sensitive
C00405,regular
C00406,new
C00407,new
C00408,price_sensitive
C00409,new
C00410,price_sensitive
C00411,regular
C00412,price_sensitive
C00413,new
C00414,premium
C00415,new
C00416,occasional
C00417,price_sensitive
C00418,regular
C00419,premium
C00420,regular
C00421,regular
C00422,regular
C00423,new
C00424,new
C00425,new
C00426,premium
C00427,regular
C00428,regular
C00429,regular
C00430,regular
C00431,new
C00432,price_sensitive
C00433,new
C00434,regular
C00435,new
C00436,regular
C00437,premium
C00438,regular
C00439,price_sensitive
C00440,occasional
C00441,new
C00442,occasional
C00443,regular
C00444,price_sensitive
C00445,new
C00446,price_sensitive
C00447,regular
C00448,regular
C00449,regular
C00450,price_sensitive
C00451,premium
C00452,price_sensitive
C00453,regular
C00454,premium
C00455,new
C00456,new
C00457,regular
C00458,price_sensitive
C00459,regular
C00460,price_sensitive
C00461,premium
C00462,regular
C00463,new
C00464,regular
C00465,regular
C00466,new
C00467,new
C00468,price_sensitive
C00469,new
C00470,price_sensitive
C00471,price_sensitive
C00472,price_sensitive
C00473,price_sensitive
C00474,price_sensitive
C00475,new
C00476,regular
C00477,premium
C00478,price_sensitive
C00479,regular
C00480,new
C00481,regular
C00482,occasional
C00483,regular
C00484,regular
C00485,new
C00486,new
C00487,premium
C00488,regular
C00489,premium
C00490,regular
C00491,premium
C00492,regular
C00493,regular
C00494,price_sensitive
C00495,occasional
C00496,premium
C00497,price_sensitive
C00498,occasional
C00499,regular
C00500,occasional
